Frequency [Hz],"Amp_0[dB] 
(P = 0.020 [mbar])","Amp_1[dB] 
(P = 0.020 [mbar])","Amp_2[dB] 
(P = 0.020 [mbar])"
2258000000.0,-78.4,-78.3,-78.3
2259000000.0,-78.2,-78.2,-78.1
2260000000.0,-78.2,-78.1,-78.1
2261000000.0,-78.1,-78.0,-78.2
2262000000.0,-78.1,-78.0,-78.0
2263000000.0,-78.2,-78.2,-78.2
2264000000.0,-78.1,-78.3,-78.2
2265000000.0,-78.3,-78.2,-78.1
2266000000.0,-78.3,-78.3,-78.2
2267000000.0,-78.5,-78.3,-78.2
2268000000.0,-78.3,-78.5,-78.4
2269000000.0,-78.5,-78.6,-78.6
2270000000.0,-78.7,-78.7,-78.5
2271000000.0,-78.7,-78.7,-78.6
2272000000.0,-78.8,-78.8,-78.8
2273000000.0,-78.9,-78.8,-79.0
2274000000.0,-78.9,-78.9,-78.9
2275000000.0,-79.2,-79.0,-79.1
2276000000.0,-79.3,-79.3,-79.5
2277000000.0,-79.4,-79.4,-79.3
2278000000.0,-79.5,-79.6,-79.4
2279000000.0,-79.7,-79.6,-79.6
2280000000.0,-79.9,-79.7,-79.7
2281000000.0,-80.1,-80.1,-79.9
2282000000.0,-79.9,-79.9,-80.0
2283000000.0,-80.2,-80.2,-80.2
2284000000.0,-80.3,-80.2,-80.3
2285000000.0,-80.5,-80.3,-80.3
2286000000.0,-80.5,-80.5,-80.7
2287000000.0,-80.7,-80.8,-80.4
2288000000.0,-80.8,-80.9,-80.9
2289000000.0,-80.9,-81.0,-80.9
2290000000.0,-80.9,-80.8,-80.9
2291000000.0,-81.5,-81.0,-81.1
2292000000.0,-81.2,-81.3,-81.3
2293000000.0,-81.4,-81.4,-81.4
2294000000.0,-81.4,-81.2,-81.1
2295000000.0,-81.5,-81.4,-81.5
2296000000.0,-81.5,-81.5,-81.7
2297000000.0,-81.6,-81.7,-81.5
2298000000.0,-81.7,-81.6,-81.5
2299000000.0,-81.5,-81.7,-81.6
2300000000.0,-82.5,-82.3,-82.6
2301000000.0,-82.2,-82.4,-82.3
2302000000.0,-82.2,-82.1,-82.2
2303000000.0,-82.5,-82.4,-82.4
2304000000.0,-82.2,-82.5,-82.1
2305000000.0,-82.3,-82.4,-82.2
2306000000.0,-82.2,-81.9,-82.1
2307000000.0,-82.3,-82.4,-82.0
2308000000.0,-81.9,-82.0,-82.0
2309000000.0,-81.8,-82.1,-82.0
2310000000.0,-81.9,-82.0,-82.2
2311000000.0,-81.7,-81.8,-81.8
2312000000.0,-81.6,-81.8,-81.7
2313000000.0,-81.6,-81.4,-81.6
2314000000.0,-81.4,-81.5,-81.5
2315000000.0,-81.4,-81.3,-81.4
2316000000.0,-81.3,-81.0,-81.3
2317000000.0,-81.1,-81.1,-81.0
2318000000.0,-80.9,-80.9,-80.8
2319000000.0,-80.7,-80.9,-80.8
2320000000.0,-80.5,-80.5,-80.6
2321000000.0,-80.3,-80.6,-80.3
2322000000.0,-80.2,-80.2,-80.4
2323000000.0,-80.0,-80.0,-79.8
2324000000.0,-80.1,-79.7,-80.1
2325000000.0,-79.8,-79.8,-79.7
2326000000.0,-79.6,-79.6,-79.6
2327000000.0,-79.4,-79.4,-79.2
2328000000.0,-79.3,-79.3,-79.4
2329000000.0,-79.2,-79.2,-79.4
2330000000.0,-78.9,-79.0,-79.0
2331000000.0,-78.7,-78.8,-78.7
2332000000.0,-78.6,-78.7,-78.6
2333000000.0,-78.5,-78.4,-78.5
2334000000.0,-78.3,-78.3,-78.4
2335000000.0,-78.2,-78.1,-78.2
2336000000.0,-78.1,-78.0,-78.1
2337000000.0,-77.8,-78.1,-78.0
2338000000.0,-77.9,-77.9,-77.9
2339000000.0,-77.9,-77.8,-77.9
2340000000.0,-77.7,-77.7,-77.8
2341000000.0,-77.8,-77.7,-78.0
2342000000.0,-77.8,-77.7,-77.8
2343000000.0,-77.7,-77.8,-77.9
2344000000.0,-77.8,-77.8,-77.8
2345000000.0,-77.8,-77.8,-77.8
2346000000.0,-77.8,-77.7,-77.8
2347000000.0,-77.8,-77.8,-77.9
2348000000.0,-77.8,-77.8,-77.8
2349000000.0,-77.9,-77.8,-77.8
2350000000.0,-78.0,-78.1,-77.9
2351000000.0,-78.1,-78.2,-78.0
2352000000.0,-78.0,-78.3,-78.3
2353000000.0,-78.4,-78.4,-78.3
2354000000.0,-78.3,-78.4,-78.5
2355000000.0,-78.6,-78.5,-78.4
2356000000.0,-78.6,-78.7,-78.6
2357000000.0,-78.7,-78.7,-78.8
2358000000.0,-78.9,-79.0,-79.1
2359000000.0,-79.0,-79.1,-79.0
2360000000.0,-79.1,-79.0,-79.1
2361000000.0,-79.3,-79.4,-79.2
2362000000.0,-79.4,-79.4,-79.5
2363000000.0,-79.5,-79.5,-79.6
2364000000.0,-79.8,-79.8,-79.7
2365000000.0,-79.8,-79.9,-80.0
