frequency;amplitude
3699000000;-103,3
3700000000;-103,3
3701000000;-103,4
3702000000;-103,4
3703000000;-103,6
3704000000;-103,7
3705000000;-103,7
3706000000;-103,7
3707000000;-103,2
3708000000;-103,2
3709000000;-103,4
3710000000;-103,7
3711000000;-103,7
3712000000;-103,8
3713000000;-103,8
3714000000;-103,8
3715000000;-103,5
3716000000;-103,5
3717000000;-103,4
3718000000;-103,4
3719000000;-103,6
3720000000;-103,6
3721000000;-103,2
3722000000;-103,2
3723000000;-103,7
3724000000;-103,7
3725000000;-103,3
3726000000;-103,7
3727000000;-103,7
3728000000;-103,1
3729000000;-103,1
3730000000;-103,1
3731000000;-103,1
3732000000;-103,1
3733000000;-103,1
3734000000;-103,5
3735000000;-103,6
3736000000;-103,6
3737000000;-103,4
3738000000;-104,0
3739000000;-104,0
3740000000;-103,2
3741000000;-103,2
3742000000;-103,1
3743000000;-103,0
3744000000;-103,6
3745000000;-103,6
3746000000;-102,9
3747000000;-103,3
3748000000;-103,6
3749000000;-103,6
3750000000;-103,6
3751000000;-103,2
3752000000;-103,2
3753000000;-103,8
3754000000;-103,8
3755000000;-102,8
3756000000;-103,6
3757000000;-103,9
3758000000;-103,9
3759000000;-103,4
3760000000;-103,3
3761000000;-103,4
3762000000;-103,7
3763000000;-103,7
3764000000;-103,7
3765000000;-103,5
3766000000;-103,5
3767000000;-103,4
3768000000;-103,3
3769000000;-103,5
3770000000;-103,5
3771000000;-103,4
3772000000;-103,4
3773000000;-103,9
3774000000;-103,9
3775000000;-103,8
3776000000;-103,5
3265000000;-103,4
3266000000;-103,4
3267000000;-103,6
3268000000;-103,6
3269000000;-103,1
3270000000;-102,5
3271000000;-103,8
3272000000;-103,8
3273000000;-103,5
3274000000;-103,3
3275000000;-103,3
3276000000;-103,2
3277000000;-103,6
3278000000;-103,6
3279000000;-103,0
3280000000;-103,2
3281000000;-103,3
3282000000;-103,3
3283000000;-103,2
3284000000;-103,4
3285000000;-103,5
3286000000;-103,5
3287000000;-103,5
3288000000;-103,5
3289000000;-103,3
3290000000;-102,9
3291000000;-103,2
3292000000;-103,5
3293000000;-103,5
3294000000;-103,1
3295000000;-103,3
3296000000;-103,3
3297000000;-103,4
3298000000;-103,6
3299000000;-103,6
3300000000;-103,1
3301000000;-103,7
3302000000;-103,7
